PassengerId,Survived
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,0
54,1
55,0
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,1
92,1
93,0
94,1
95,0
96,0
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,1
127,0
128,1
129,0
130,0
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,1
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,0
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,1
226,1
227,1
228,1
229,1
230,0
231,1
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,0
251,0
252,1
253,0
254,1
255,0
256,1
257,0
258,1
259,1
260,0
261,0
262,1
263,0
264,0
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,1
281,0
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,1
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,0
319,1
320,0
321,1
322,1
323,1
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,0
348,0
349,1
350,0
351,1
352,0
353,1
354,1
355,0
356,1
357,1
358,1
359,0
360,0
361,0
362,1
363,0
364,1
365,0
366,1
367,0
368,0
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,0
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,0
408,1
409,1
410,0
411,0
412,0
413,1
414,0
415,0
416,0
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,1
426,0
427,1
428,1
429,0
430,1
431,1
432,0
433,0
434,1
435,0
436,1
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,0
466,1
467,0
468,0
469,0
470,1
471,0
472,1
473,1
474,1
475,1
476,0
477,1
478,1
479,1
480,1
481,1
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,1
490,1
491,0
492,1
493,0
494,0
495,1
496,0
497,0
498,0
499,1
500,1
501,1
502,1
503,0
504,1
505,1
506,1
507,1
508,0
509,1
510,1
511,1
512,0
513,1
514,0
515,1
516,0
517,1
518,0
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,1
532,0
533,1
534,0
535,1
536,1
537,0
538,1
539,0
540,1
541,1
542,1
543,1
544,1
545,0
546,0
547,1
548,0
549,1
550,1
551,1
552,1
553,0
554,1
555,1
556,0
557,0
558,0
559,1
560,1
561,0
562,0
563,1
564,0
565,0
566,1
567,1
568,1
569,0
570,1
571,0
572,0
573,1
574,0
575,1
576,1
577,1
578,1
579,0
580,1
581,1
582,1
583,0
584,1
585,0
586,1
587,0
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,1
596,1
597,0
598,0
599,0
600,0
